Date,Day,Time,Crime_Type,Lighting,Police_Presence,Crowd_Presence,Risk_Score,Risk_Level,Latitude,Longitude
25-12-2025,Thursday,09:24,Burglary,Poor,High,Medium,55,Moderate,28.479864,77.500523
28-09-2025,Sunday,17:23,Other,Moderate,Low,Low,55,Moderate,28.458356,77.491152
31-08-2025,Sunday,17:19,Other,Good,High,Medium,29,Safe,28.472769,77.501869
02-03-2026,Monday,19:34,Harassment,Good,High,Medium,41,Moderate,28.455503,77.500981
28-08-2025,Thursday,19:29,Robbery,Poor,Low,High,72,Unsafe,28.45634,77.509128
22-12-2025,Monday,21:36,Assault,Moderate,Low,Medium,74,Unsafe,28.469347,77.498335
05-01-2026,Monday,06:51,Other,Good,High,Medium,29,Safe,28.474752,77.508471
01-11-2025,Saturday,11:52,Assault,Moderate,Low,Medium,69,Unsafe,28.464163,77.487559
22-08-2025,Friday,16:33,Burglary,Moderate,High,Low,54,Moderate,28.465965,77.486411
05-05-2025,Monday,10:52,Burglary,Moderate,High,Medium,48,Moderate,28.470776,77.504114
31-07-2025,Thursday,17:34,Other,Good,Low,Medium,43,Moderate,28.459838,77.499568
29-01-2026,Thursday,02:40,Other,Poor,Low,High,62,Unsafe,28.457748,77.503794
06-07-2025,Sunday,19:09,Burglary,Moderate,Low,Low,73,Unsafe,28.468044,77.512539
09-05-2025,Friday,06:59,Other,Poor,Low,Medium,56,Moderate,28.459285,77.510397
17-02-2026,Tuesday,13:29,Robbery,Good,Medium,High,46,Moderate,28.464889,77.485297
14-12-2025,Sunday,07:06,Robbery,Moderate,Medium,Medium,56,Moderate,28.457974,77.49775
07-07-2025,Monday,08:23,Burglary,Poor,High,Medium,55,Moderate,28.470873,77.507146
22-07-2025,Tuesday,10:39,Other,Moderate,Low,Low,55,Moderate,28.464167,77.495422
24-03-2026,Tuesday,06:16,Harassment,Moderate,Low,High,52,Moderate,28.455415,77.510152
06-11-2025,Thursday,19:32,Robbery,Good,Low,Low,69,Unsafe,28.462836,77.489932
21-04-2025,Monday,00:36,Theft,Good,Medium,Medium,48,Moderate,28.477125,77.508874
09-10-2025,Thursday,09:28,Other,Moderate,Medium,Medium,41,Moderate,28.471709,77.499586
13-12-2025,Saturday,12:34,Theft,Good,Medium,High,34,Moderate,28.474794,77.510208
28-05-2025,Wednesday,01:01,Assault,Poor,Low,Medium,86,Unsafe,28.455619,77.494574
21-05-2025,Wednesday,20:30,Theft,Good,Medium,Medium,43,Moderate,28.460807,77.513815
23-02-2026,Monday,17:43,Assault,Poor,Medium,Medium,68,Unsafe,28.463519,77.485431
11-03-2026,Wednesday,15:36,Harassment,Good,Medium,High,38,Moderate,28.47419,77.514441
01-03-2026,Sunday,02:05,Other,Good,Low,Low,59,Moderate,28.462159,77.508064
09-01-2026,Friday,05:16,Robbery,Moderate,High,High,56,Moderate,28.47245,77.499932
23-08-2025,Saturday,03:38,Burglary,Poor,High,High,61,Unsafe,28.469771,77.490449
04-05-2025,Sunday,10:21,Other,Moderate,Medium,High,37,Moderate,28.462132,77.489773
08-04-2026,Wednesday,00:13,Robbery,Good,Low,Low,74,Unsafe,28.474055,77.487826
10-08-2025,Sunday,08:34,Theft,Good,Medium,Medium,38,Moderate,28.462624,77.512188
10-11-2025,Monday,08:53,Burglary,Moderate,Medium,High,50,Moderate,28.461356,77.50543
19-06-2025,Thursday,18:34,Harassment,Good,High,Low,42,Moderate,28.456038,77.487583
03-03-2026,Tuesday,18:42,Other,Poor,Medium,Medium,48,Moderate,28.466538,77.492066
02-06-2025,Monday,06:04,Harassment,Moderate,Medium,Medium,48,Moderate,28.474215,77.510312
25-05-2025,Sunday,22:21,Robbery,Good,Medium,Medium,55,Moderate,28.476419,77.504024
21-03-2026,Saturday,18:47,Burglary,Moderate,High,Medium,48,Moderate,28.456632,77.496093
19-08-2025,Tuesday,12:37,Assault,Good,Low,Low,69,Unsafe,28.476498,77.48636
13-11-2025,Thursday,03:35,Other,Moderate,Medium,Low,57,Moderate,28.474157,77.507075
02-12-2025,Tuesday,18:35,Burglary,Good,Medium,Low,54,Moderate,28.472218,77.51456
21-07-2025,Monday,14:51,Robbery,Moderate,High,Low,56,Moderate,28.474375,77.510161
26-03-2026,Thursday,19:57,Theft,Moderate,High,Medium,43,Moderate,28.47834,77.503299
12-02-2026,Thursday,06:07,Other,Moderate,High,High,31,Moderate,28.477486,77.494875
15-06-2025,Sunday,08:09,Robbery,Good,High,Medium,44,Moderate,28.467616,77.510617
31-03-2026,Tuesday,10:35,Robbery,Moderate,Medium,Medium,56,Moderate,28.468239,77.507466
16-08-2025,Saturday,19:54,Assault,Moderate,High,Medium,60,Moderate,28.45852,77.506633
25-06-2025,Wednesday,06:19,Other,Good,Low,High,39,Moderate,28.458941,77.485939
16-05-2025,Friday,13:01,Harassment,Moderate,Low,Medium,56,Moderate,28.461684,77.514962
13-05-2025,Tuesday,10:38,Other,Moderate,Medium,High,37,Moderate,28.458189,77.489012
05-02-2026,Thursday,23:03,Assault,Good,High,Low,60,Moderate,28.459762,77.494093
30-11-2025,Sunday,10:18,Assault,Good,Medium,Low,61,Unsafe,28.464733,77.513937
04-02-2026,Wednesday,21:44,Burglary,Moderate,Medium,High,55,Moderate,28.475215,77.494017
28-09-2025,Sunday,10:51,Robbery,Good,Low,High,54,Moderate,28.472526,77.508378
03-10-2025,Friday,08:01,Theft,Poor,High,High,41,Moderate,28.465772,77.48666
27-09-2025,Saturday,03:53,Assault,Poor,Medium,Medium,78,Unsafe,28.462392,77.498514
23-07-2025,Wednesday,14:52,Assault,Good,Low,Medium,63,Unsafe,28.466591,77.508078
25-02-2026,Wednesday,21:00,Harassment,Good,High,High,37,Moderate,28.474353,77.50318
25-05-2025,Sunday,11:55,Harassment,Good,High,Medium,36,Moderate,28.46959,77.512408
14-09-2025,Sunday,18:30,Other,Good,Low,High,39,Moderate,28.465922,77.493954
10-06-2025,Tuesday,15:21,Assault,Good,High,High,45,Moderate,28.473116,77.489016
15-05-2025,Thursday,20:30,Other,Good,Low,Medium,48,Moderate,28.475237,77.514493
06-07-2025,Sunday,01:10,Theft,Good,Medium,Low,54,Moderate,28.458739,77.513429
05-02-2026,Thursday,15:19,Assault,Moderate,Low,High,65,Unsafe,28.456801,77.502795
15-06-2025,Sunday,17:04,Assault,Poor,Low,High,72,Unsafe,28.476021,77.501761
02-05-2025,Friday,19:09,Burglary,Moderate,High,Low,59,Moderate,28.477663,77.500948
